Shopify SKU,Supplier SKU,UPC,Model Number,Product Type,Manufacturer Weblink,Cost,Shipping Fee,List Price,Lowest Price,Lowest Price Link,MAP Price,MSRP,Notes,Shipping Length,Shipping Width,Shipping Height,Shipping Weight,Shipping Class,Shipping NMFC,Shipping Sub,Shipping Additional Info,Shipping Method
110100,110100,,GS650,Chippers/Shredders,https://mechmaxx.com/products/mechmaxx-4-inch-wood-chipper-196cc-6-5hp-gs650,1039,,1299,1299,,1299,1299,,35,23,37,273,70,123950,,,
110101,110101,,GS650,Chippers/Shredders,https://mechmaxx.com/products/mechmaxx-gs650-4-inch-wood-chipper-196cc-6-5hp,1439,,1799,1799,,1799,1799,,35,23,37,273,70,123950,,,
110200,110200,,GS1500,Chippers/Shredders,https://mechmaxx.com/products/gs1500?_pos=1&_sid=4a411f439&_ss=r,1699,,2099,2099,,2099,2099,,37,30,49,516,70,123950,,,
110200Y,110200Y,,GS1500,Chippers/Shredders,https://mechmaxx.com/products/5-inch-e-start-ducar-420cc-gasoline-engine-powered-wood-chipper-gs1500-110200y,1699,,2099,2099,,2099,2099,,37,30,49,516,70,123950,,,
110200K,110200K,,GS1500,Chippers/Shredders,https://mechmaxx.com/products/5-inch-e-start-kohler-408cc-gasoline-engine-powered-wood-chipper-model-gs1500,1999,,2499,2499,,2499,2499,,37,30,49,516,70,123950,,,
110400,110400,,PGS1500,Chippers/Shredders,https://mechmaxx.com/products/15hp-gasoline-engine-wood-chipper-shredder-machine-1?_pos=1&_sid=da9861652&_ss=r,1599,,2099,2099,,2099,2099,,44,30,45,481,77.5,123950,,,
110602,110602,,P4205,Chippers/Shredders,https://mechmaxx.com/products/gasoline-engine-self-feeding-electric-start-wood-chipper-p4205rato,1799,,2299,2299,,2299,2299,,43,30,50,606,70,123950,,,
110602Y,110602Y,,P4205,Chippers/Shredders,https://mechmaxx.com/products/5-inch-e-start-ducar-420cc-15hp-gasoline-engine-powered-disc-wood-chipper-with-taillight,1799,,2299,2299,,2299,2299,,43,30,50,606,70,123950,,,
110601,110601,,P4205,Chippers/Shredders,https://mechmaxx.com/products/5-in-wood-chipper?_pos=1&_sid=a13871dec&_ss=r,2199,,2799,2799,,2799,2799,,43,31,50,610,70,123950,,,
110802,110802,,P4206,Chippers/Shredders,https://mechmaxx.com/products/gasoline-engine-self-feeding-wood-shredder-chipper-p4206rato?_pos=1&_sid=3d5dcd38d&_ss=r,1899,,2399,2399,,2399,2399,Pre-Order,43,30,50,617,70,123950,,,
110802Y,110802Y,,P4206,Chippers/Shredders,https://mechmaxx.com/products/6-inch-e-start-ducar-420cc-15hp-gasoline-engine-powered-drum-wood-chipper-model-p4206,1899,,2399,2399,,2399,2399,Pre-Order,43,30,50,617,70,123950,,,
