SKU,Title,Costway Product Type,Mapped Product Type
14259067,17.5 Inch Heavy Duty Square Umbrella Base Stand of 30 lbs for Outdoor,Outdoor > Outdoor Shades > Outdoor Umbrella Bases,Outdoor Umbrella Bases
17643089,30lbs 18 Inches Heavy Duty Outdoor Patio Market Umbrella Base,Outdoor > Outdoor Shades > Outdoor Umbrella Bases,Outdoor Umbrella Bases
07589146,22 Inch Heavy Duty Round Umbrella Base Stand,Outdoor > Outdoor Shades > Outdoor Umbrella Bases,Outdoor Umbrella Bases
89625410,Salon Standing Hair Dryer Bonnet Rolling Heater,Health & Beauty > Massage & Relaxation > Spa & Salon,Spa & Salons
10849675,Overbed Rolling Food Tray Table,Furniture > Home Office > Laptop Tables & Printer Stands,Laptop Tables & Printer Stands
27083451,Folding 3-Step Ladder with Handgrip and Anti-Slip Platform,Outdoor > Garden > Garden Tools > Ladders,Garden Tools
62814937,3400W Dual Tank Electric Countertop Deep Fryer,Appliances > Kitchen Appliances > Air Fryers,Air Fryers
98543067,8 Players Texas Holdem Foldable Poker Table-Green,Toys & Hobbies > Game Room,Game Rooms
94521037,Kitchen Commercial Pizza Oven Stainless Steel Pan,Appliances > Kitchen Appliances > Toaster Ovens,Toaster Ovens
95671382,66 lbs Electronic Price Computing Scale with LCD Screen Display,Kitchen > Kitchen Tools,Kitchen Tools
56170893,Portable 4 Tier Walk-in Plant Greenhouse with 8 Shelves,Outdoor > Garden > Greenhouses,Greenhouses
47385902,16th Century Wood Globe Wine Bar Stand,Kitchen > Kitchen Organization > Wine Racks,Wine Racks
46327981,Foldable Cube Ottoman Pouffe Storage Seat-Black,Furniture > Living Room > Ottomans,Ottomans
45603871,3 Pieces Cushioned Wicker Patio Bistro Set with No Assembly Needed,Outdoor > Outdoor & Patio Furniture > Patio Furniture Sets > Patio Conversation Sets,Patio Furniture Sets
958146237,330 lbs Platform Cart Dolly Foldable Warehouse Push Hand Truck,Outdoor > Outdoor Storage & Garages > Garages,Garages
10849675,Gray Overbed Rolling Table Food Tray,Furniture > Home Office > Laptop Tables & Printer Stands,Laptop Tables & Printer Stands
61402738,115 Inch Length 5 Panel Adjustable Wide Fireplace Fence-Black,Pets > Dog Supplies > Pet Gate,Pet Gates
46507923,30 x 48 Inch Stainless Steel Table Commercial Kitchen Worktable,Kitchen > Kitchen Tools,Kitchen Tools
24870591,Portable Folding Picnic Double Chair with Umbrella-Blue,Outdoor > Camping > Camping Furniture,Camping Furnitures
09831724,Musical Instrument Toy 30-Key Children Mini Grand Piano with Bench-Black,Toys & Hobbies > Musical Instruments > Pianos & Keyboards,Pianos & Keyboards
09831724,Musical Instrument Toy 30-Key Children Mini Grand Piano with Bench-Pink,Toys & Hobbies > Musical Instruments > Pianos & Keyboards,Pianos & Keyboards
89764021,Bench Deck with Steel Frame for outdoor,Outdoor > Outdoor & Patio Furniture > Outdoor Seating & Patio Chairs > Outdoor Benches,Outdoor Benches
15287603,Outdoor Cast Iron Patio Bench,Outdoor > Outdoor & Patio Furniture > Outdoor Seating & Patio Chairs > Outdoor Benches,Outdoor Benches
63927510,49 1/2 Inch Patio Park Garden Porch Chair Bench,Outdoor > Outdoor & Patio Furniture > Outdoor Seating & Patio Chairs > Outdoor Benches,Outdoor Benches
