Item Number,Description,MSRP,Dealer Price,Dealer Shipping Cost,Dealer MAP,Item Status,Discontinued,Brand,Country of Origin,UPC,Ship Type,Profit,Margin
G1195,"12-1/2"" x 3/4"" x 1/8"" HSS Planer Knives - Set of 2 for G1017",$119.95,$17.95,16.99,,Unavailable,FALSE,Grizzly,TW,690550011955,Parcel,$85.01,70.87%
W1721,7' Rails & Legs Only,$195.00,$68.45,18.99,,Available,FALSE,Shop Fox,TW,754001007215,Parcel,$107.56,55.16%
D3393,Elliptical Jig For Planer/Moulder,$299.00,$139.51,21.99,,Available,FALSE,Shop Fox,TW,769433433938,Parcel,$137.50,45.99%
D3304,Compact Super Heavy-Duty Workbench Leg System,$189.00,$94.29,18.99,,Available,FALSE,Shop Fox,CN,769433433044,Parcel,$75.72,40.06%
T32860,5C Collet Block Set,$71.95,$29.37,16.99,,Unavailable,FALSE,Grizzly,TW,690550145827,Parcel,$25.59,35.57%
D4594,"4"" x 1-1/8"" Handheld Pneumatic Drum Sander",$89.95,$41.70,16.99,,Available,FALSE,Shop Fox,TW,754001013230,Parcel,$31.26,34.75%
D4328,"Quick Release Vise, 9""",$179.00,$97.93,18.99,,Available,FALSE,Shop Fox,CN,754001002494,Parcel,$62.08,34.68%
W2006,The Classic Fence w/ 7' Rails & Legs,$695.00,$474.97,0,,Available,FALSE,Shop Fox,TW,754001010062,Parcel,$220.03,31.66%
D4157,Single-Phase On/Off Switch 120/230V,$23.95,$7.71,8.99,,Available,FALSE,Shop Fox,CN,769433498562,Parcel,$7.25,30.27%
W1410,Fence w/ Standard Rails,$395.00,$277.00,0,,Available,FALSE,Shop Fox,TW,754001004108,Parcel,$118.00,29.87%
H8444,30 Pc. Heavy Duty F-Clamp Kit,"$1,022.50",$720.00,0,,Unavailable,FALSE,Shop Fox,US,690550184444,Parcel,$302.50,29.58%
H5297,"6"" Industrial Dust Collection Fittings Starter Kit","$1,145.80",$823.50,0,,Unavailable,FALSE,Grizzly,US,690550152979,Parcel,$322.30,28.13%
D3752,Precision 3-in-1 Plane,$89.95,$48.79,16.99,,Available,FALSE,Shop Fox,IN,769433437523,Parcel,$24.17,26.87%
D2058A,Super Heavy-Duty Mobile Base,$149.95,$92.88,18.99,,Available,FALSE,Shop Fox,CN,769433920582,Parcel,$38.08,25.40%
D4994,"8"" Drill Press Vise",$79.95,$43.13,16.99,,Available,FALSE,Shop Fox,CN,690550348730,Parcel,$19.83,24.80%
T34622,"72"" 15-Drawer Tool Cabinet w/ Outlets","$1,795.00","$1,092.00",259,,Available,FALSE,Grizzly PRO,KH,690550221309,LTL Freight,$444.00,24.74%
T34623,"96"" 24-Drawer Tool Cabinet w/ Outlets","$2,395.00","$1,515.00",299,,Available,FALSE,Grizzly PRO,KH,690550417092,LTL Freight,$581.00,24.26%
D4153,3 HP Mag Switch Single-Phase,$79.95,$43.75,16.99,,Available,FALSE,Shop Fox,TW,769433499705,Parcel,$19.21,24.03%
D4657,Heavy-Duty Lathe Stand,$225.00,$149.02,21.99,,Available,FALSE,Shop Fox,CN,754001014046,Parcel,$53.99,24.00%
D3108,"Deluxe Extension Table - 44"" x 27""",$250.00,$193.19,0,,Unavailable,FALSE,Shop Fox,TW,769433431088,Parcel,$56.81,22.72%
D4927,"4"" Long Spindle For W1702 Shaper",$55.95,$26.26,16.99,,Available,FALSE,Shop Fox,TW,754001018310,Parcel,$12.70,22.70%
D4990,"3"" Drill Press Vise",$19.95,$6.46,8.99,,Available,FALSE,Shop Fox,CN,690550782497,Parcel,$4.50,22.56%
G0745WAR05,"4"" x 6"" Variable-Speed Benchtop Metal Lathe - 5 Year Warranty",$960.00,$715.50,29.95,$795.00,Unavailable,FALSE,Grizzly,,,Parcel,$214.55,22.35%
M1036,"4"" x 8"" Micro Milling Machine",$729.00,$566.53,0,$729.00,Available,FALSE,Shop Fox,CN,754001510364,Parcel,$162.47,22.29%
D4919,"10-1/2"" Quick-Action Woodworking Vise",$169.95,$110.19,21.99,,Available,FALSE,Shop Fox,CN,754001018211,Parcel,$37.77,22.22%
D2910,Super Heavy-Duty Workbench Leg System,$225.00,$175.50,0,,Available,FALSE,Shop Fox,CN,769433429108,Parcel,$49.50,22.00%
D4658,Extension for Heavy-Duty Lathe Stand,$99.95,$59.54,18.99,,Available,FALSE,Shop Fox,CN,754001014053,Parcel,$21.42,21.43%
G0745WAR03,"4"" x 6"" Variable-Speed Benchtop Metal Lathe - 3 Year Warranty",$880.00,$661.50,29.95,$735.00,Unavailable,FALSE,Grizzly,,,Parcel,$188.55,21.43%
G0745,"4"" x 6"" Variable-Speed Benchtop Metal Lathe",$765.00,$571.50,29.95,$635.00,Available,FALSE,Grizzly,CN,690550841965,Parcel,$163.55,21.38%
T33938WAR05,60A Plasma Cutter - 5 Year Warranty,$640.00,$504.00,0,$560.00,Unavailable,FALSE,Grizzly,,,Parcel,$136.00,21.25%
