accessory_sku,accessory_name,listed,found_on_skus,found_on_count
"T34637","0.2-2 Micron Upper Filter Bag for G0406",no,"G0406",1
"T34638","Replacement Bag for G0406",no,"G0406",1
"W1034","4"" x 10' Clear Wire Reinforced Flexible Hose",no,"G0406",1
"H5293","4"" Industrial Dust Collection Fittings Starter Kit",no,"G0406",1
"H5294","4"" Industrial Dust Collection Fittings Machine Addition Kit",no,"G0406",1
"BXG040602","BXG040602",no,"G0406",1
"T34394","6"" x 102"" A/O Sanding Belt, 60 Grit",no,"G0401",1
"T34395","6"" x 102"" A/O Sanding Belt, 80 Grit",no,"G0401",1
"T34396","6"" x 102"" A/O Sanding Belt, 100 Grit",no,"G0401",1
"T34397","6"" x 102"" A/O Sanding Belt, 120 Grit",no,"G0401",1
"T34398","6"" x 102"" A/O Sanding Belt, 150 Grit",no,"G0401",1
"T28100","V-Carve Desktop Software",no,"G0403",1
"T27139","Laminate Trim Router with Plunge Base",no,"G0403",1
"T30906","Solid Carbide CNC Spiral Downcut Bit, 1/4"" Shank, 1/4"" Dia.",no,"G0403",1
"G8679","25"" x 60"" A/O Sanding Belt 150-Y Grit with Polyester Backing",no,"G0408",1
"G8678","25"" x 60"" A/O Sanding Belt 120-Y Grit",no,"G0408",1
"G8677","25"" x 60"" A/O Sanding Belt 100 Grit",no,"G0408",1
"G8676","25"" x 60"" A/O Sanding Belt 80-Y Grit",no,"G0408",1
"G8675","25"" x 60"" A/O Sanding Belt 60-Y Grit",no,"G0408",1
"H5222","18"" x 48"" A/O Sanding Belt 60 Grit",no,"G0407",1
"H5223","18"" x 48"" A/O Sanding Belt 80 Grit",no,"G0407",1
"H5224","18"" x 48"" A/O Sanding Belt 100 Grit",no,"G0407",1
"H5225","18"" x 48"" A/O Sanding Belt 120 Grit",no,"G0407",1
"H5226","18"" x 48"" A/O Sanding Belt, 150-Grit",no,"G0407",1
"T34438","2 HP Water Cooled Spindle Kit for G0403",yes,"G0403",1
"T34439","4th Axis for G0403",yes,"G0403",1
