Pricing effective 8/2/2026. Last data refresh 8/4/2026 3:03 AM Pacific,,,,,,,,,,,,,,
Item Number,Description,MSRP,Today's Non-Dealer Price,Today's Non-Dealer Ship Cost,Dealer Price,Dealer Shipping Cost,Dealer MAP,Item Status,Discontinued,Brand,Country of Origin,UPC,Ship Type,Price Notes
BE1001,Mini Arbor Press,$100.95,$100.95,See Chart,$90.86,See Chart,,Available,FALSE,Bald Eagle,CN,632414310019,Parcel,
BE1005,"Rest, Slingshot, Aluminum",$315.00,$315.00,See Chart,$299.44,See Chart,,Available,TRUE,Bald Eagle,TW,632414310057,Parcel,
BE1006,"Y Rest, Cast-Iron",$299.00,$299.00,See Chart,$299.00,See Chart,,Unavailable,TRUE,Bald Eagle,TW,632414310064,Parcel,
BE1074,28 Gauge Phosphor Bronze Bore Brush,$2.75,$1.57,See Chart,$1.53,See Chart,,Unavailable,TRUE,Bald Eagle,CN,632414310743,Parcel,Price Change
BE1094,.177 Caliber Brass Jag,$2.95,$0.28,See Chart,$0.28,See Chart,,Unavailable,TRUE,Bald Eagle,CN,632414310941,Parcel,
BE1100,.338 Caliber Brass Jag,$3.25,$0.21,See Chart,$0.21,See Chart,,Unavailable,TRUE,Bald Eagle,CN,632414311009,Parcel,
BE1104,.50 Caliber Brass Jag,$3.75,$0.31,See Chart,$0.31,See Chart,,Unavailable,TRUE,Bald Eagle,CN,632414311047,Parcel,
BE1113,Brass Bore Guide - Multiple Caliber,$5.95,$0.48,See Chart,$0.48,See Chart,,Available,TRUE,Bald Eagle,CN,632414311139,Parcel,
BE1116,Bulk Cleaning Patches - Small,$9.95,$1.58,See Chart,$1.58,See Chart,,Available,TRUE,Bald Eagle,CN,632414311160,Parcel,
BE1117,Bulk Cleaning Patches - Medium,$4.95,$1.58,See Chart,$1.58,See Chart,,Available,TRUE,Bald Eagle,CN,632414311177,Parcel,
BE1122,"3"" Front Bag",$34.95,$34.95,See Chart,$31.45,See Chart,,Available,FALSE,Bald Eagle,ID,632414311221,Parcel,
BE1123,"2-1/4"" Front Bag",$33.95,$33.95,See Chart,$30.55,See Chart,,Available,FALSE,Bald Eagle,ID,632414311238,Parcel,
BE1124,Radius Front Bag,$28.95,$28.95,See Chart,$26.05,See Chart,,Available,FALSE,Bald Eagle,ID,632414311245,Parcel,
BE1126,"Brass Tip Screws for Round Plate, 4 pk",$10.95,$10.95,See Chart,$9.86,See Chart,,Available,FALSE,Bald Eagle,TW,632414311269,Parcel,
BE1127,Precision CNC Machined Barrel Vise,$74.95,$74.95,See Chart,$67.45,See Chart,,Available,FALSE,Bald Eagle,TW,632414311276,Parcel,
BE1153,Triangle Windage Rest - Cast-Iron,$295.00,$295.00,See Chart,$287.63,See Chart,,Available,FALSE,Bald Eagle,TW,632414311535,Parcel,
BE1162,Cleaning Vise,$84.95,$84.95,See Chart,$76.45,See Chart,,Available,TRUE,Bald Eagle,TW,632414311627,Parcel,
BE1207,"Loading Block, .50 BMG",$30.95,$6.08,See Chart,$6.08,See Chart,,Available,TRUE,Bald Eagle,TW,632414312075,Parcel,
BE1218,Heavy Duty Single Stage Match Press,$170.00,$97.84,See Chart,$97.84,See Chart,,Available,TRUE,Bald Eagle,TW,632414312181,Parcel,
BE1222,Magazine Holder for SIG P226,$15.95,$2.08,See Chart,$2.08,See Chart,,Available,TRUE,Bald Eagle,TW,632414312228,Parcel,
C1001,"Double Fluted Straight Router Bit, 1/4"" Shank, 1/4"" Dia.",$3.95,$3.95,See Chart,$3.56,See Chart,,Available,FALSE,Grizzly,TW,690550910012,Parcel,
C1004,"Double Fluted Straight Bit, 1/4"" Shank, 1/2"" Dia.",$3.75,$3.75,See Chart,$3.38,See Chart,,Available,FALSE,Grizzly,TW,690550910043,Parcel,
C1006,"Double Fluted Straight Bit, 1/4"" Shank, 3/4"" Dia.",$7.75,$7.75,See Chart,$6.97,See Chart,,Available,FALSE,Grizzly,TW,690550910067,Parcel,
