id,title,handle,imageUrl,width,height,lapVariance,gradEnergy,whitespacePct,error
gid://shopify/Product/4663336134,"Sunpentown AC-2102 Heavy Duty HEPA Air Purifier",sunpentown-ac-2102-heavy-duty-hepa-air-purifier,https://cdn.shopify.com/s/files/1/1163/1976/files/air-purifiers-sunpentown-ac-2102-heavy-duty-hepa-air-purifier-1_4161a7cb-7f0c-4a74-b598-3a2236714558.png?v=1771616744,1500,1500,39.1,91.4,22.5,
gid://shopify/Product/4663337414,"Sunpentown AC-3000i HEPA Air Purifier w/ Ionizer",sunpentown-ac-3000i-hepa-air-purifier-w-ionizer,https://cdn.shopify.com/s/files/1/1163/1976/files/air-purifiers-sunpentown-ac-3000i-hepa-air-purifier-w-ionizer-1.png?v=1771616746,1500,1500,35,192.1,2,
gid://shopify/Product/4663340998,"Sunpentown SD-350 Mini Thermo-Electric Dehumidifier",sunpentown-sd-350-mini-thermo-electric-dehumidifier,https://cdn.shopify.com/s/files/1/1163/1976/files/dehumidifiers-sunpentown-sd-350-mini-thermo-electric-dehumidifier-1_a1eb7282-583c-4e8d-a560-5e68362c209a.png?v=1771616748,1500,2470,14.1,86.3,8.1,
gid://shopify/Product/4663342726,"Austin Air Healthmate Air Purifier HM 400",austin-air-healthmate-air-purifier-hm-400,https://cdn.shopify.com/s/files/1/1163/1976/files/air-purifiers-austin-air-healthmate-air-purifier-hm-400-1_8f294553-bf24-4016-b9b7-63b54b79374d.png?v=1771616750,1500,1500,20.1,72,13.7,
gid://shopify/Product/4663364934,"Austin Air HealthMate Plus Air Purifier",austin-air-healthmate-plus-air-purifier,https://cdn.shopify.com/s/files/1/1163/1976/files/air-purifiers-austin-air-healthmate-plus-air-purifier-1_b7fb8154-258a-4695-8a5b-16b3a48d6e1f.png?v=1771616752,1500,1500,22.8,79.1,13.8,
gid://shopify/Product/4663366918,"Austin Air Allergy Machine Air Purifier",austin-air-allergy-machine-air-purifier,https://cdn.shopify.com/s/files/1/1163/1976/files/air-purifiers-austin-air-allergy-machine-air-purifier-1_2f3f5d2e-d3d3-4cca-8b8a-92b8cd989b03.png?v=1771616754,1500,1500,20.1,72,13.7,
gid://shopify/Product/4663368902,"Austin Air Pet Machine Air Purifier",austin-air-pet-machine-air-purifier,https://cdn.shopify.com/s/files/1/1163/1976/files/air-purifiers-austin-air-pet-machine-air-purifier-1.png?v=1771616755,1500,1500,19.5,68.3,13.7,
gid://shopify/Product/4663371590,"Austin Air Bedroom Machine Air Purifier",austin-air-bedroom-machine-air-purifier,https://cdn.shopify.com/s/files/1/1163/1976/files/air-purifiers-austin-air-bedroom-machine-air-purifier-1.png?v=1771616757,1500,1500,23.4,79.2,13.3,
gid://shopify/Product/4663374406,"Austin Air HealthMate Jr. Air Purifier",austin-air-healthmate-jr-air-purifier,https://cdn.shopify.com/s/files/1/1163/1976/files/air-purifiers-austin-air-healthmate-jr-air-purifier-1.png?v=1771616759,1500,1500,29,94.2,12.9,
gid://shopify/Product/4663376454,"Austin Air HealthMate Plus Jr. Air Purifier",austin-air-healthmate-plus-jr-air-purifier,https://cdn.shopify.com/s/files/1/1163/1976/files/air-purifiers-austin-air-healthmate-plus-jr-air-purifier-1.png?v=1771616761,1500,1500,29.9,93.4,12.8,
gid://shopify/Product/4663378374,"Austin Air Allergy Machine Jr. Air Purifier",austin-air-allergy-machine-jr-air-purifier,https://cdn.shopify.com/s/files/1/1163/1976/files/air-purifiers-austin-air-allergy-machine-jr-air-purifier-1.png?v=1771616763,1500,1500,28.2,90.4,13,
gid://shopify/Product/4663390726,"Austin Air HealthMate Jr. HM-200 Air Filter",austin-air-healthmate-jr-hm-200-air-filter,https://cdn.shopify.com/s/files/1/1163/1976/files/filters-uv-austin-air-healthmate-jr-hm-200-air-filter-1.png?v=1771616765,1500,1500,83.3,293.8,4.1,
gid://shopify/Product/4663392070,"Austin Air HealthMate HM-400 Air Filter",austin-air-healthmate-hm-400-air-filter,https://cdn.shopify.com/s/files/1/1163/1976/files/filters-uv-austin-air-healthmate-hm-400-air-filter-1.png?v=1771616766,1500,1500,78.7,293.3,5.1,
gid://shopify/Product/4663392774,"Austin Air Allergy Machine Filter",austin-air-allergy-machine-filter,https://cdn.shopify.com/s/files/1/1163/1976/files/filters-uv-austin-air-allergy-machine-filter-1.png?v=1771616768,1500,1500,127.9,494.8,6.9,
gid://shopify/Product/4663393222,"Austin Air Allergy Machine Jr. Filter",austin-air-allergy-machine-jr-filter,https://cdn.shopify.com/s/files/1/1163/1976/files/filters-uv-austin-air-allergy-machine-jr-filter-1.png?v=1771616770,1500,1500,127.9,494.8,6.9,
gid://shopify/Product/4663393798,"Austin Air HealthMate Plus 450 Filter",austin-air-healthmate-plus-450-filter,https://cdn.shopify.com/s/files/1/1163/1976/files/filters-uv-austin-air-healthmate-plus-450-filter-1.png?v=1771616772,1500,1500,78.7,293.3,5.1,
gid://shopify/Product/4663399686,"Austin Air HealthMate Jr. Plus 250 Filter",austin-air-healthmate-jr-plus-250-filter,https://cdn.shopify.com/s/files/1/1163/1976/files/filters-uv-austin-air-healthmate-jr-plus-250-filter-1.png?v=1771616773,1500,1500,78.7,293.3,5.1,
gid://shopify/Product/4663400390,"Austin Air Pet Machine 410 Filter",austin-air-pet-machine-410-filter,https://cdn.shopify.com/s/files/1/1163/1976/files/filters-uv-austin-air-pet-machine-410-filter-1.png?v=1771616775,1500,1500,78.7,293.3,5.1,
