title,url,score,reason
"Sunpentown AC-2102 Heavy Duty HEPA Air Purifier",https://factorypure.com/products/sunpentown-ac-2102-heavy-duty-hepa-air-purifier,BAD,low sharpness; some whitespace
"Sunpentown AC-3000i HEPA Air Purifier w/ Ionizer",https://factorypure.com/products/sunpentown-ac-3000i-hepa-air-purifier-w-ionizer,BAD,low sharpness
"Sunpentown SD-350 Mini Thermo-Electric Dehumidifier",https://factorypure.com/products/sunpentown-sd-350-mini-thermo-electric-dehumidifier,BAD,low sharpness
"Austin Air Healthmate Air Purifier HM 400",https://factorypure.com/products/austin-air-healthmate-air-purifier-hm-400,BAD,low sharpness
"Austin Air HealthMate Plus Air Purifier",https://factorypure.com/products/austin-air-healthmate-plus-air-purifier,BAD,low sharpness
"Austin Air Allergy Machine Air Purifier",https://factorypure.com/products/austin-air-allergy-machine-air-purifier,BAD,low sharpness
"Austin Air Pet Machine Air Purifier",https://factorypure.com/products/austin-air-pet-machine-air-purifier,BAD,low sharpness
"Austin Air Bedroom Machine Air Purifier",https://factorypure.com/products/austin-air-bedroom-machine-air-purifier,BAD,low sharpness
"Austin Air HealthMate Jr. Air Purifier",https://factorypure.com/products/austin-air-healthmate-jr-air-purifier,BAD,low sharpness
"Austin Air HealthMate Plus Jr. Air Purifier",https://factorypure.com/products/austin-air-healthmate-plus-jr-air-purifier,BAD,low sharpness
"Austin Air Allergy Machine Jr. Air Purifier",https://factorypure.com/products/austin-air-allergy-machine-jr-air-purifier,BAD,low sharpness
"Austin Air HealthMate Jr. HM-200 Air Filter",https://factorypure.com/products/austin-air-healthmate-jr-hm-200-air-filter,OK,moderate sharpness
"Austin Air HealthMate HM-400 Air Filter",https://factorypure.com/products/austin-air-healthmate-hm-400-air-filter,OK,moderate sharpness
"Austin Air Allergy Machine Filter",https://factorypure.com/products/austin-air-allergy-machine-filter,OK,moderate sharpness
"Austin Air Allergy Machine Jr. Filter",https://factorypure.com/products/austin-air-allergy-machine-jr-filter,OK,moderate sharpness
"Austin Air HealthMate Plus 450 Filter",https://factorypure.com/products/austin-air-healthmate-plus-450-filter,OK,moderate sharpness
"Austin Air HealthMate Jr. Plus 250 Filter",https://factorypure.com/products/austin-air-healthmate-jr-plus-250-filter,OK,moderate sharpness
"Austin Air Pet Machine 410 Filter",https://factorypure.com/products/austin-air-pet-machine-410-filter,OK,moderate sharpness
"Austin Air Bedroom Machine 5-Stage FR402 Filter",https://factorypure.com/products/austin-air-bedroom-machine-5-stage-fr402-filter,OK,moderate sharpness
"Austin Air Babys Breath 205 Filter",https://factorypure.com/products/austin-air-babys-breath-205-filter,OK,moderate sharpness
"Austin Air Standard Pre-Filter",https://factorypure.com/products/austin-air-standard-pre-filter,OK,moderate sharpness
"Austin Air Junior Pre-Filter",https://factorypure.com/products/austin-air-junior-pre-filter,BAD,low sharpness; weak edges
"Sunpentown 1220F HEPA Filter",https://factorypure.com/products/sunpentown-1220f-hepa-filter,BAD,low sharpness
"Sunpentown 2062-HEPA Filter for AC-2062/AC-2062G Set of 2 New",https://factorypure.com/products/sunpentown-2062-hepa-filter-for-ac-2062-ac-2062g-set-of-2-new,BAD,low sharpness; excessive whitespace
"Sunpentown 2062-VOC Filter for AC-2062 / AC-2062G Set of 2 New",https://factorypure.com/products/sunpentown-2062-voc-filter-for-ac-2062-ac-2062g-set-of-2-new,OK,moderate sharpness; excessive whitespace
"Sunpentown 2102 UV Bulb",https://factorypure.com/products/sunpentown-2102-uv-bulb,BAD,low sharpness; weak edges
"Sunpentown 2102 HEPA Filter for AC-2102/AC-9966 New",https://factorypure.com/products/sunpentown-2102-hepa-filter-for-ac-2102-ac-9966-new,BAD,low sharpness
"Sunpentown 2102-TiO2 Filter for AC-2102 New",https://factorypure.com/products/sunpentown-2102-tio2-filter-for-ac-2102-new,OK,moderate sharpness
"Sunpentown 2102-VOC Filter for AC-2102/AC-9966 New",https://factorypure.com/products/sunpentown-2102-voc-filter-for-ac-2102-ac-9966-new,OK,moderate sharpness
"Sunpentown 3000F HEPA/Carbon Filter for AC-3000/AC-3000i New",https://factorypure.com/products/sunpentown-3000f-hepa-carbon-filter-for-ac-3000-ac-3000i-new,OK,moderate sharpness
"Sunpentown AC-7013 Magic Clean Air Cleaner with Ionizer",https://factorypure.com/products/sunpentown-ac-7013-magic-clean-air-cleaner-with-ionizer,OK,moderate sharpness
