SKU,Model Number,Title,Mapped Product Type,Status
101000,STL1000,"Mini Skid Steer Stand On Compact Track Loader ( 4 in 1 bucket included ) with 25HP KUBOTA D1105 Diesel Engine,  Common Industry Interface (CII),  CROBA  STL1000",Skid Steers,New
150505,RBT44,"44'' Mini Skid Steer Rock Bucket,  25'' Overall Depth",Skid Steer Attachments,New
150510,LJ36,36'' Boom Length Mini Skid Steer Lifting Jib,Skid Steer Attachments,New
150511,PF36,"36'' Mini Skid Steer Pallet Fork Frame Attachment,  2204 lb Weight Capacity",Skid Steer Attachments,New
150513,,16'' Cutting Width Mini Skid Steer Stump Bucket,Skid Steer Attachments,New
150514,BR300,300ft-lbs  Hydraulic Mini Skid Steer Concrete Breaker Hammer Attachment,Skid Steer Attachments,New
150515,SGB36,36'' Max Opening Mini Skid Steer Stump Grapple Bucket,Skid Steer Attachments,New
150516,LLR44,44'' Mini Skid Steer Land leveler,Skid Steer Attachments,New
150517,BC42,"42'' Mini Skid Steer Brush Cutter, Hydraulic Motor",Skid Steer Attachments,New
150518,TG44,44'' Mini Skid Steer Timber Grab 24'' Max Opening,Skid Steer Attachments,New
150504,BT44,"44"" 4-In-1 Combo Mini Skid Steer Bucket Attachment With Quick Attach,  Universal Mount",Skid Steer Attachments,New
150520,HDB57,57'' Hydraulic  Mini Skid Steer Dozer Blade,Skid Steer Attachments,New
150521,TR20,20'' Cutting Depth Mini Skid Steer Trencher,Skid Steer Attachments,New
150522,RGB44,20'' Width Mini Skid Steer Rock Grapple Bucket,Skid Steer Attachments,New
150523,SC40,40'' Mini Skid Steer Scarifier,Skid Steer Attachments,New
150506,,"Mini Skid Steer Drive Auger with 6"" ,  9"" ,  12"" Dia. Auger Bits",Skid Steer Attachments,New
150512,BS40,40'' Working Width Mini Skid Steer Box Broom Sweeper,Skid Steer Attachments,New
150503,RG42,"42"" Mini Skid Steer Skeleton Grapple Attachment,   24"" Arm Opening,  2000 lb Weight Capacity",Skid Steer Attachments,New
150502,RLG61,"59"" Multi-purpose Hydraulic Rotating Log Grapple For Mini Skid Steer, 1500lbs Lift Capacity, 360° Rotational Ability",Skid Steer Attachments,New
150601,MCH37,"37""Mini Skid Steer Drum Forestry Brush Mulcher Attachment,  Hydraulic Flow Range 11 To 16 GPM, MCH37",Skid Steer Attachments,New
