Model Number,SKU,Dealer Price,Platform Selling Price
STL1000,101000,20000,22999
RBT44,150505,779,799
LJ36,150510,499,699
PF36,150511,799,859
,150513,799,899
BR300,150514,2099,2699
SGB36,150515,1399,1699
LLR44,150516,769,829
BC42,150517,2399,2999
TG44,150518,1599,1799
BT44,150504,1599,1899
HDB57,150520,1599,1999
TR20,150521,2299,2899
RGB44,150522,1299,1399
SC40,150523,639,699
,150506,2799,3299
BS40,150512,2799,3399
RG42,150503,1199,1299
RLG61,150502,2099,2699
MCH37,150601,4199,5699
MSB48,150524,2699,3399
MSG20,150602,1699,2299
DLA50,150270,1899,2399
DLA60,150271,2099,2699
FW8800,150210,1899,2499
DT4X8,150255,2499,3299
DT4X8W,150256,2899,3899
CM5,150250,1299,1699
HB3120,150215,3699,4999
HW20,150216,1699,2199
HT100,150217,1799,2399
DM6,150231,4199,5299
DM8,150232,4699,5999
"HB3120, HW20",150218,5359,6699
"HB3120, HT100",150219,5519,6899
"HB3120, HW20, HT100",150220,7039,8799
"HB3120, HT100, DM6",150233,8999,10599
"HB3120, HT100, DM8",150234,9799,11299
DM53,150235,1799,2199
MEC06,150536,3699,4999
MEC10,150530,7199,8699
MEC10,150531,7699,9699
MEC12,150532,12999,16999
MEC17,150533,20999,27299
MEC17,150534,22999,29999
,150541,659,699
,150542,559,599
,150543,959,999
,150544,459,499
,150545,709,799
,150546,419,469
,150547,559,599
,150548,619,659
,150549,959,1069
,150550,999,1099
,150551,539,599
,150553,999,1099
,150554,559,599
TC964,200001,1199,1399
TC966,200002,1399,1599
TC9661,200027,1599,1899
TC9662,200005,1699,1999
TC968,200006,1759,2199
TC9682,200028,2159,2699
WB855,200009,999,1099
WB857,200010,1199,1599
TC964+WB855,200029,1899,2299
TC966+WB855,200030,2099,2499
TC9661+WB855,200031,2299,2799
TC9662+WB855,200032,2399,2899
TC968+WB855,200033,2499,3099
TC9682+WB855,200034,2899,3599
TC968+WB857,200035,2899,3599
TC9682+WB857,200036,3199,4099
TC9661+WB857,200037,2599,3299
TC9662+WB857,200038,2699,3399
LP72,201004,1599,1999
LP84,201005,1699,2199
DH60,201006,1599,1699
DH72,201007,1699,1999
SS3S,201008,1639,2049
BB60,201019,1099,1249
BB72,201020,1119,1399
BB84,201021,1299,1549
LR72,201023,799,849
LR84,201024,839,949
LR72W,201026,899,999
LR84W,201027,999,1099
CR82,201035,2799,3499
BB96,201045,1599,1999
PH19,201001,1699,2199
BH660,150162,3699,4499
BH760,150163,3999,5099
BH860,150164,4399,5499
AHG72,201033,999,1199
AHG72R,201034,1299,1499
RB72SE,201040,1349,1799
RB84SE,201041,1449,1899
DSA60,201046,699,899
DSA72,201047,899,1099
TSP60,201125,1499,1899
TSP72,201126,1699,2199
TSP84,201127,1899,2499
TSP60D,201128,1799,2399
TSP72D,201129,1999,2699
TSP84D,201130,2199,2999
TCP1060,201131,1399,1799
TCP1072,201132,1599,2099
TCP1084,201133,1699,2499
HSP20,200060,999,1299
HSP30,200061,1199,1499
HSP50,200062,1699,1999
HSP75,200063,2799,3799
HSP75E,200064,3599,4799
HSP100,200065,3999,4899
HSP100E,200066,4699,5899
HSP150E,200067,8699,10999
HRT80,201115,3399,4299
HRT90,201117,3999,4999
RSB48,201119,2199,2799
RSB65,201121,2599,3199
FMS60,201123,2399,2999
FMS72,201124,2699,3399
CB-H1,321001,1399,1649
CB-V1,321002,1399,1649
CB-H2,321003,1899,2249
CB-V2,321004,1899,2249
CB-H1Pro,321005,1699,2149
CB-V1Pro,321006,1699,2199
CB-H2Pro,321007,2799,3199
CB-V2Pro,321008,2799,3299
CB-65Slim,321009,599,699
CB-80Slim,321010,699,799
M10AC460,300023,2199,2999
M15AC460,300022,3099,3999
ML1046,300019,5199,6599
ML1546,300020,6299,7799
MF-47,331001,1699,2199
MF-59,331002,1899,2499
MF-59T,331003,2199,2699
MF-79,331004,2499,3099
MF-79T,331005,2799,3399
PUD1624,501000,1399,1689
PUD1624LCD,501001,1399,1689
PUD1624-L,501002,1499,1799
PUD1624LCD-L,501003,1499,1799
PUD1624-C,501004,1499,2399
PUD2024,501005,1799,2399
PUD2432,501006,1999,2499
PS2432S,501007,1999,2399
MS2432,501008,1399,1599
MS2432,501009,1899,2599
MS1624-A,501012,399,429
MS1624-I,501011,349,349
MD1624,501010,1099,1258
PC-30,501013,198,209
120,501014,2199,2899
120,501015,1999,2699
250,501016,3599,4699
1600-C1,501017,1199,1449
1600-C2,501018,1499,1699
1600-C3Pro,501019,1599,1799
1700-A3,501020,3299,4499
VM18L,500200,1199,1499
VM18LD,500201,1599,1799
VM25L,500202,1799,2199
VM25LD,500203,2099,2599
VM32L,500204,2299,2799
VM32LD,500205,2899,3499
0831V,500003,1199,1499
0831VD,500004,1499,1999
1022V,500014,2099,2599
1022VD,500015,2399,2899
1030V,500005,2299,2799
1030VD,500006,2599,3199
1130V,500007,2899,3699
1130VD,500008,3199,4099
1030VC,500101,3299,4199
1130VC,500102,3999,4899
HQ400,500103,1899,2299
HQ800,500105,2499,2699
1440G,500009,5999,7399
1340G,500013,5599,6699
1337G4,500011,4699,5999
